Tag TDOA 1,Tag TDOA 2,Tag Reported X,Tag Reported Y,Initiator X,Initiator Y,Anchor 1 X,Anchor 1 Y,Anchor 2 X,Anchor 2 Y,1.26,Tag Actual Y
1.24,-2.77,0.66,1.51,0,0,2,0,0,2,1.26,1.65
0.13,-2.58,0.97,1.56,0,0,2,0,0,2,1.26,1.65
-0.05,-2.79,1.01,1.63,0,0,2,0,0,2,1.26,1.65
0.27,-2.86,0.92,1.61,0,0,2,0,0,2,1.26,1.65
1.57,-2.69,0.57,1.48,0,0,2,0,0,2,1.26,1.65
1.25,-3.26,0.64,1.61,0,0,2,0,0,2,1.26,1.65
0.97,-4.01,0.7,1.8,0,0,2,0,0,2,1.26,1.65
1.21,-3.41,0.65,1.64,0,0,2,0,0,2,1.26,1.65
1.33,-3.3,0.62,1.61,0,0,2,0,0,2,1.26,1.65
1.63,-3.3,0.53,1.58,0,0,2,0,0,2,1.26,1.65
1.02,-3.15,0.71,1.61,0,0,2,0,0,2,1.26,1.65
1.03,-3.08,0.71,1.59,0,0,2,0,0,2,1.26,1.65
1.19,-3.54,0.65,1.67,0,0,2,0,0,2,1.26,1.65
1.11,-2.97,0.69,1.56,0,0,2,0,0,2,1.26,1.65
1.1,-3.33,0.68,1.64,0,0,2,0,0,2,1.26,1.65
1.49,-3.22,0.58,1.58,0,0,2,0,0,2,1.26,1.65
1.27,-3.13,0.64,1.58,0,0,2,0,0,2,1.26,1.65
1.83,-2.77,0.5,1.47,0,0,2,0,0,2,1.26,1.65
1.66,-3.07,0.53,1.54,0,0,2,0,0,2,1.26,1.65
1.27,-2.71,0.65,1.5,0,0,2,0,0,2,1.26,1.65
1.35,-3.11,0.62,1.57,0,0,2,0,0,2,1.26,1.65
1.69,-2.83,0.53,1.49,0,0,2,0,0,2,1.26,1.65
0.3,-2.49,0.92,1.52,0,0,2,0,0,2,1.26,1.65
0.3,-2.69,0.92,1.57,0,0,2,0,0,2,1.26,1.65
0.11,-2.79,0.97,1.61,0,0,2,0,0,2,1.26,1.65
0.52,-2.8,0.86,1.58,0,0,2,0,0,2,1.26,1.65
0.42,-2.83,0.88,1.59,0,0,2,0,0,2,1.26,1.65
-0.36,-4.15,1.13,2.09,0,0,2,0,0,2,1.26,1.65
0.61,-3.58,0.82,1.75,0,0,2,0,0,2,1.26,1.65
0.25,-3.24,0.93,1.71,0,0,2,0,0,2,1.26,1.65
0.34,6.04,0.92,-1.16,0,0,2,0,0,2,0.87,0.44
0.25,5.77,0.95,-0.86,0,0,2,0,0,2,0.87,0.44
0.06,5.95,0.99,-1.13,0,0,2,0,0,2,0.87,0.44
0.22,5.7,0.96,-0.79,0,0,2,0,0,2,0.87,0.44
0.36,5.81,0.93,-0.86,0,0,2,0,0,2,0.87,0.44
-0.02,5.9,1,-1.1,0,0,2,0,0,2,0.87,0.44
0.09,5.92,0.98,-1.08,0,0,2,0,0,2,0.87,0.44
-0.02,5.9,1,-1.1,0,0,2,0,0,2,0.87,0.44
0.27,5.76,0.95,-0.84,0,0,2,0,0,2,0.87,0.44
-0.25,5.6,1.05,-0.83,0,0,2,0,0,2,0.87,0.44
0.13,5.62,0.98,-0.74,0,0,2,0,0,2,0.87,0.44
0.17,3.33,0.97,0.25,0,0,2,0,0,2,0.87,0.44
0.22,5.62,0.96,-0.72,0,0,2,0,0,2,0.87,0.44
-0.64,2.38,1.11,0.45,0,0,2,0,0,2,0.87,0.44
0.33,5.62,0.94,-0.69,0,0,2,0,0,2,0.87,0.44
0.56,5.68,0.9,-0.69,0,0,2,0,0,2,0.87,0.44
0.8,5.48,0.87,-0.49,0,0,2,0,0,2,0.87,0.44
0.49,6.15,0.88,-1.29,0,0,2,0,0,2,0.87,0.44
0.36,5.73,0.93,-0.78,0,0,2,0,0,2,0.87,0.44
0.47,6.13,0.89,-1.27,0,0,2,0,0,2,0.87,0.44
0.42,6.04,0.9,-1.13,0,0,2,0,0,2,0.87,0.44
0.03,2.13,0.99,0.54,0,0,2,0,0,2,0.87,0.44
0.11,5.99,0.97,-1.19,0,0,2,0,0,2,0.87,0.44
0.38,6.01,0.92,-1.1,0,0,2,0,0,2,0.87,0.44
0.19,5.96,0.96,-1.11,0,0,2,0,0,2,0.87,0.44
0.17,6.01,0.96,-1.19,0,0,2,0,0,2,0.87,0.44
1.64,5.74,0.72,-0.5,0,0,2,0,0,2,0.87,0.44
0.34,5.82,0.93,-0.88,0,0,2,0,0,2,0.87,0.44
-0.11,5.7,1.02,-0.88,0,0,2,0,0,2,0.87,0.44
0.25,6.09,0.94,-1.29,0,0,2,0,0,2,0.87,0.44
